3301
0 1 2 3
626 635 183 405
0 1 3 19
439 261 131 274
660 131 128 410
131 274 267 275
233 234 281 283
603 661 174 600
603 599 662 600
585 572 431 600
663 585 435 600
603 662 663 600
599 513 664 600
630 378 530 558
665 535 666 543
293 298 381 383
655 378 381 383
583 379 378 558
535 294 380 543
666 630 541 543
109 110 112 598
78 233 232 598
78 232 339 341
77 81 80 444
115 125 126 198
67 198 286 522
21 186 144 569
667 350 348 413
320 348 668 370
322 667 348 413
254 255 320 370
668 369 370 582
642 390 304 303
391 171 304 395
54 55 419 572
21 245 63 569
472 48 305 473
391 304 34 395
392 34 390 214
555 632 583 558
557 669 382 530
665 541 542 543
436 624 670 422
53 172 167 173
665 671 535 543
672 560 671 673
290 298 294 560
378 380 383 543
564 530 557 558
64 67 286 641
122 370 248 582
415 389 125 490
125 389 482 490
277 286 482 490
12 372 24 457
37 362 368 404
322 323 137 348
415 125 424 490
278 646 279 424
277 424 279 490
276 286 490 522
276 286 277 490
369 248 370 582
63 245 222 569
63 186 569 571
120 258 255 259
203 647 252 251
204 205 203 253
668 370 348 582
252 323 255 442
254 120 255 370
210 216 217 480
626 503 635 405
400 500 188 346
400 188 401 347
400 499 347 402
123 230 124 350
91 192 90 194
116 120 248 370
65 138 87 195
597 419 55 572
289 291 290 560
166 288 290 293
166 298 295 381
43 51 45 53
580 263 39 265
418 381 56 419
539 540 298 381
539 381 298 383
584 378 59 381
505 336 289 460
535 294 536 380
584 59 418 381
213 229 469 493
674 426 91 208
675 208 484 641
674 91 206 208
361 206 676 363
91 93 206 208
190 332 315 479
407 192 91 194
6 266 262 338
515 16 12 17
117 120 16 258
3 7 6 9
358 17 12 307
515 119 12 16
76 82 234 283
67 245 68 246
375 209 482 641
216 377 221 398
376 216 377 480
4 8 6 22
484 208 209 641
367 441 217 368
396 216 215 398
376 216 396 377
441 214 396 216
53 56 166 172
597 572 55 581
597 55 594 581
54 172 431 572
435 585 431 600
56 381 166 419
50 57 325 497
585 513 597 572
233 234 232 280
553 280 339 342
613 232 233 598
553 677 273 339
595 677 339 340
81 112 242 449
408 190 194 470
476 332 190 479
401 194 188 470
476 408 190 193
77 233 78 598
656 233 77 598
109 678 110 598
506 365 332 404
353 679 245 569
485 639 233 281
615 678 109 598
592 615 109 598
680 626 635 183
503 185 283 405
633 635 454 406
629 131 181 410
154 398 349 481
88 90 228 347
681 248 369 582
203 205 133 251
96 97 132 133
122 348 370 582
37 189 210 235
69 72 71 73
518 338 677 340
206 362 235 363
606 310 292 458
12 13 248 250
141 142 140 493
116 122 348 370
46 108 48 473
29 167 31 337
507 364 363 404
682 327 624 328
353 566 427 569
606 545 312 531
502 638 503 185
683 73 684 244
685 428 570 571
439 128 660 131
652 686 69 71
519 440 552 274
686 69 71 73
500 687 344 346
687 499 654 496
684 73 231 244
4 22 6 262
488 580 314 523
628 325 326 497
688 69 265 573
487 325 263 523
580 263 265 523
49 265 325 523
462 289 689 291
290 291 295 560
71 73 72 312
466 478 467 479
35 156 107 220
468 458 333 531
588 488 690 417
315 333 458 531
268 182 178 184
181 287 272 313
4 6 5 262
691 344 687 345
364 362 363 404
692 693 397 220
180 132 181 371
397 693 694 220
207 524 132 451
83 160 103 161
559 689 528 461
1 132 133 451
595 112 111 341
256 102 611 162
366 192 193 363
426 91 208 223
365 363 193 404
403 692 397 220
506 332 335 404
504 590 438 282
508 426 208 222
361 510 484 483
394 362 364 404
175 176 502 177
648 202 256 205
684 691 244 344
374 373 695 351
22 247 246 351
554 273 677 338
189 191 210 235
696 697 698 387
357 515 358 17
21 63 66 186
13 114 248 250
189 315 231 479
231 479 315 531
476 478 466 479
477 188 231 479
508 674 361 206
367 510 364 362
478 188 477 479
394 334 368 404
699 492 491 493
456 25 518 340
111 242 299 341
54 56 172 419
553 339 273 342
30 38 37 360
592 613 615 598
456 301 340 341
685 570 407 91
677 338 273 340
639 233 281 283
639 76 657 233
656 657 77 233
591 485 613 280
51 55 54 324
592 109 232 598
83 161 185 385
487 488 489 523
592 232 613 598
591 613 592 280
196 344 345 346
435 434 661 431
700 168 604 174
435 585 701 431
702 589 588 330
421 422 581 586
621 459 334 460
703 459 621 460
401 347 194 402
435 701 433 431
625 588 690 417
596 572 581 586
661 170 700 174
171 172 170 431
435 431 661 600
70 72 302 312
540 295 298 381
669 382 308 573
630 378 655 383
292 294 293 310
505 605 289 336
657 76 77 233
682 624 436 422
188 344 196 346
704 596 682 586
539 655 418 381
564 627 557 530
632 669 628 382
546 76 638 86
670 472 705 420
592 232 595 339
656 77 517 598
706 671 665 542
84 100 85 239
374 246 351 352
452 694 414 398
623 55 59 416
270 269 272 410
667 645 350 565
188 191 194 347
645 469 350 565
516 12 532 457
704 436 433 586
676 206 366 363
494 667 413 565
492 494 493 565
197 480 210 483
197 210 206 483
230 413 350 565
508 208 206 483
691 343 244 344
551 213 469 493
551 493 469 565
492 493 551 565
570 707 399 568
110 517 112 598
708 618 709 386
508 674 206 208
316 88 317 521
438 463 440 342
179 629 180 181
161 185 177 287
408 193 192 194
710 525 444 651
474 654 475 425
508 675 679 222
14 103 102 134
79 84 81 241
101 105 104 386
711 80 546 86
552 463 553 342
674 91 366 206
711 86 526 385
160 165 164 593
508 426 674 208
606 545 71 312
426 679 427 223
54 572 421 581
712 331 314 501
506 505 335 336
713 506 505 335
41 48 107 142
47 72 75 148
462 505 289 460
506 544 505 336
589 623 714 498
672 689 559 560
557 627 669 530
713 335 505 460
506 365 476 332
601 662 603 599
365 193 332 404
365 193 476 332
426 222 679 223
